acklnzl1,Auckland,-36.89349365,174.70991516
atlagax1,Atlanta,33.7485466,-84.39150238
bgtacol1,Bogota,4.6529541,-74.08356476
chcoilx1,Chicago,41.8832283,-87.63240051
dllstxx1,Dallas,32.77797699,-96.79621124
dnvrcox1,Denver,39.73845291,-104.98485565
dtcrakx1,Dutch Harbor,53.9525795,-166.52160645
frntdeu1,Frankfurt,50.11088562,8.679492
frtabra1,Fortaleza,-3.73045111,-38.52179718
iqltcan1,Iqaluit,63.75065994,-68.52307129
jtnaidn1,Jakarta,-6.17475653,106.82707214
krcipak1,Karachi,24.87193871,66.98806
lgosnga1,Lagos,6.45505762,3.39417958
limaper1,Lima,-12.06210613,-77.03652191
lndngbr1,London,51.50682449,-0.12611847
lsancax1,Los Angeles,34.05223846,-118.24334717
mdrdesp1,Madrid,40.41669083,-3.70034552
mmbiind1,Mumbai,18.96904755,72.82118225
mnlaphl1,Manila,14.60052967,120.98540497
nwyynyx1,New York,40.71304703,-74.00723267
prthaus1,Perth,-31.95183945,115.85870361
pthpakx,Point Hope,68.35035706,-166.72349548
qrtomex1,Mexico City,19.43267822,-99.13420868
rdmdwax3/rdmdwax3rk3,Redmond,47.6749115,-122.12399292
sngesgp1,Singapore,1.28943646,103.84998322
sntochl1,Santiago,-33.43777466,-70.65045166
splobra1,Sao Paulo,-23.55065155,-46.63338089
sttlwax1/sttlwax9,Seattle,47.60322952,-122.33027649
sydyaus1,Sydney,-33.87319946,151.20959473
tkyojpn1,Tokyo,35.67307663,139.81697083
